review,sentiment
"Salah satu pengulas lain telah menyebutkan bahwa setelah menonton episode 1 Oz saja Anda akan ketagihan. Mereka benar, karena inilah yang terjadi dengan saya. Hal pertama yang mengejutkan saya tentang Oz adalah kebrutalan dan adegan kekerasan yang keras, yang terjadi dari kata GO. Percayalah, ini bukan pertunjukan untuk menjadi lemah hati atau malu-malu. Pertunjukan ini tidak menimbulkan pukulan terkait dengan narkoba, seks, atau kekerasan. Its adalah hardcore, dalam penggunaan kata klasik. Ini disebut OZ karena itu adalah julukan yang diberikan kepada Oswald Maximum Security State Penitentary. Ini berfokus terutama pada Emerald City, bagian eksperimental dari penjara di mana semua sel memiliki front kaca dan menghadap ke dalam, sehingga privasi tidak tinggi dalam agenda. Em City adalah rumah bagi banyak orang. Arya, Muslim, gangstas, Latin, Kristen, Italia, Irlandia dan banyak lagi .... jadi bentrokan, tatapan mati, hubungan cerdik dan kesepakatan yang teduh tidak pernah jauh. <br /> <br / > Saya akan mengatakan bahwa daya tarik utama pertunjukan ini adalah karena kenyataan bahwa pertunjukan di tempat lain tidak akan berani. Lupakan gambar cantik yang dilukis untuk khalayak mainstream, lupakan pesona, lupakan asmara ... OZ tidak main-main. Episode pertama yang pernah saya lihat mengejutkan saya karena sangat tidak menyenangkan, saya tidak dapat mengatakan bahwa saya siap untuk itu, tapi saat saya melihat lebih banyak, saya mengembangkan rasa untuk Oz, dan terbiasa dengan tingkat kekerasan grafis yang tinggi. Bukan hanya kekerasan, tapi ketidakadilan (penjaga yang bengkok yang akan dijual habis nikel, narapidana yang akan segera membunuh dan melarikan diri dengan itu, narapidana kelas menengah yang sopan dan sopan dijadikan jalang penjara karena kurangnya keterampilan jalanan. atau pengalaman penjara) Menonton Oz, Anda mungkin merasa nyaman dengan apa yang tidak enak dilihat .... thats jika Anda bisa berhubungan dengan sisi gelap Anda.",positive
"Sebuah produksi kecil yang indah. Teknik syutingnya sangat sederhana - mode yang sangat kuno dan tepat waktu dan memberi rasa realisme yang menghibur, dan terkadang menyebalkan, hingga keseluruhannya. Aktornya dipilih dengan sangat baik - Michael Sheen tidak hanya ""telah mendapatkan semua polari"" tapi juga semua suaranya turun. Anda benar-benar dapat melihat pengeditan tanpa batas yang dipandu oleh referensi untuk catatan harian Williams, tidak hanya layak untuk ditonton tapi ini adalah karya yang ditulis dengan indah dan lengkap. Sebuah produksi hebat tentang salah satu master komedi dan hidupnya. realisme benar-benar pulang dengan hal-hal kecil: fantasi penjaga yang, daripada menggunakan teknik 'mimpi' tradisional tetap solid kemudian lenyap. Ini memainkan pengetahuan dan indra kita, terutama dengan pemandangan Orton dan Halliwell dan set (terutama flat mereka dengan mural Halliwell yang menghias setiap permukaan) sangat baik dilakukan.",positive
"Kupikir ini adalah cara yang bagus untuk menghabiskan waktu di akhir pekan musim panas yang terlalu panas, duduk di bioskop ber-AC dan menonton komedi ringan. Plotnya sederhana, namun dialognya cerdas dan karakternya menyenangkan (bahkan roti yang dicurigai berantai pembunuh berantai). Sementara beberapa mungkin akan kecewa ketika mereka menyadari hal ini bukan Match Point 2: Risk Addiction, saya pikir ini adalah bukti bahwa Woody Allen masih sepenuhnya mengendalikan gaya yang telah kita cintai. <br /> <br /> Inilah yang paling saya tawa pada salah satu komedi Woody bertahun-tahun (saya katakan satu dekade?). Sementara saya tidak pernah terkesan dengan Scarlet Johanson, dalam hal ini dia berhasil merendahkan citra ""seksi"" dan langsung melompat ke seorang wanita muda yang rata-rata dan bersemangat. <br /> <br /> Ini mungkin bukan permata mahkota. dari karirnya, tapi itu lebih buruk daripada ""Devil Wears Prada"" dan lebih menarik daripada ""Superman"" sebuah komedi hebat untuk bisa bertemu dengan teman-teman.",positive
"Pada dasarnya ada sebuah keluarga dimana seorang anak laki-laki kecil (Jake) mengira ada zombie di lemarinya dan orang tuanya selalu bertengkar. <br /> <br /> Film ini lebih lambat dari sinetron ... dan tiba-tiba, Jake memutuskan untuk menjadi Rambo dan membunuh zombie. Oke, pertama-tama ketika Anda akan membuat film Anda harus memutuskan apakah itu sebuah thriller atau drama! Sebagai drama, film ini ditonton. Orang tua menceraikan & berdebat seperti dalam kehidupan nyata. Dan kemudian kita memiliki Jake dengan lemarinya yang benar-benar merusak semua film! Saya berharap melihat film serupa BOOGEYMAN, dan sebagai gantinya saya menonton sebuah drama dengan beberapa tempat thriller yang tidak berarti. <br /> <br /> 3 dari 10 hanya untuk dialog orang tua & keturunan yang bermain dengan baik. Sedangkan untuk tembakan dengan Jake: abaikan saja.",negative
"""Love in the Time of Money"" Petter Mattei adalah film yang menakjubkan secara visual untuk ditonton. Mr Mattei memberi kita potret yang jelas tentang hubungan manusia. Ini adalah film yang sepertinya memberi tahu kita apa uang, kekuatan dan kesuksesan yang dilakukan orang dalam situasi berbeda yang kita hadapi. <br /> <br /> Ini menjadi variasi permainan Arthur Schnitzler tentang tema yang sama, sutradara memindahkan aksinya ke New York saat ini dimana semua karakter dan karakter yang berbeda ini bertemu dan terhubung. Masing-masing terhubung dalam satu cara, atau yang lainnya ke orang berikutnya, namun sepertinya tidak ada yang tahu titik kontak sebelumnya. Dengan gaya, film ini memiliki tampilan mewah yang sophisticated. Kita dibawa untuk melihat bagaimana orang-orang ini tinggal dan dunia tempat tinggal mereka di habitatnya sendiri. <br /> <br /> Satu-satunya yang bisa keluar dari semua jiwa ini dalam gambar adalah berbagai tahap kesepian yang dihuni masing-masing. Sebuah kota besar bukanlah tempat terbaik di mana hubungan manusia menemukan pemenuhan yang tulus, seperti yang kita lihat dengan sebagian besar orang yang kita hadapi. Aktingnya bagus menurut arahan Tuan Mattei. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, dan pemain berbakat lainnya, membuat karakter ini menjadi hidup. <br /> <br /> Kami mengucapkan semoga sukses Matt dan menanti dengan cemas untuk selanjutnya. kerja.",positive
"Mungkin film favorit saya sepanjang masa, sebuah cerita tentang tidak mementingkan diri sendiri, berkorban dan dedikasi terhadap tujuan mulia, tapi itu bukan berkhotbah atau membosankan. Itu tidak pernah menjadi tua, meskipun saya telah melihatnya sekitar 15 kali atau lebih dalam 25 tahun terakhir. Penampilan Paul Lukas meneteskan air mata ke mata saya, dan Bette Davis, dalam salah satu perannya yang benar-benar simpatik, sangat menyenangkan. Anak-anak, seperti kata nenek, lebih mirip ""cendana berpakaian"" daripada anak-anak, tapi itu hanya membuat mereka lebih asyik untuk ditonton. Dan ibu terbangun dengan lamban terhadap apa yang terjadi di dunia ini dan di bawah atapnya sendiri bisa dipercaya dan mengejutkan. Jika saya memiliki selusin jempol, mereka semua akan ""siap"" untuk film ini.",positive
"Saya yakin ingin melihat kebangkitan serial Seahunt tanggal dengan teknologi yang mereka miliki hari ini akan membawa kembali kegembiraan anak itu dalam diri saya. Saya dibesarkan di TV hitam dan putih dan Seahunt dengan Gunsmoke adalah pahlawan saya setiap minggu. Anda memiliki Saya memilih untuk kembali dari perburuan laut yang baru. Kita perlu perubahan kecepatan di TV dan ini akan berhasil untuk sebuah dunia yang berada di bawah petualangan air. Dengan cara ini, saya mengucapkan terima kasih atas sebuah jalan keluar seperti ini untuk melihat banyak sudut pandang tentang TV dan banyak film. Jadi, begitulah cara saya percaya bahwa saya memiliki apa yang ingin saya katakan. Saya akan senang membaca beberapa poin plus tentang berburu laut. Jika sajak saya akan menjadi 10 baris, apakah Anda akan membiarkan saya menyerahkan, atau membiarkan saya keluar untuk menjadi ragu dan mintalah saya untuk berhenti, Jika demikian maka saya harus pergi jadi mari kita lakukan.",positive
"Acara ini adalah ide yang menakjubkan, segar & inovatif di tahun 70an saat pertama kali ditayangkan. 7 atau 8 tahun pertama brilian, tapi banyak hal turun setelah itu. Pada tahun 1990, acara itu tidak terlalu lucu lagi, dan terus berlanjut hingga menghabiskan waktu yang sia-sia sampai hari ini. <br /> <br /> Sungguh memalukan seberapa jauh pertunjukan ini telah turun. Tulisannya sangat buruk, pertunjukannya hampir sama buruknya - jika bukan karena sedikit istirahat dari host tamu, pertunjukan ini mungkin tidak akan terus berlanjut. Saya merasa sangat sulit untuk percaya bahwa pencipta yang sama yang dipilih dengan tangan oleh pemeran asli juga memilih band hacks yang diikuti. Bagaimana seseorang bisa mengenali kecemerlangan seperti itu dan kemudian merasa pantas menggantinya dengan sikap biasa-biasa saja? Saya merasa saya harus memberikan 2 bintang untuk menghormati pemeran asli yang membuat pertunjukan ini sukses besar. Seperti sekarang, acara itu hanya mengerikan. Aku tidak percaya itu masih di udara.",negative
"Didorong oleh komentar positif tentang film ini di sini saya sudah tak sabar lagi menonton film ini. Kesalahan buruk Saya telah melihat 950+ film dan ini benar-benar salah satu yang terburuk - sangat mengerikan dalam hampir segala hal: mengedit, mondar-mandir, alur cerita, 'akting,' soundtrack (satu-satunya lagu film - lagu negara yang lumpuh - tidak dimainkan kurang dari empat kali). Film ini terlihat murahan dan menjemukan dan membosankan dalam ekstrem. Jarang sekali saya sangat senang melihat akhir dari sebuah film. <br /> <br /> Satu-satunya hal yang menghalangi saya memberi skor 1 ini adalah Harvey Keitel - sementara ini jauh dari penampilan terbaiknya, dia setidaknya tampaknya sedikit berusaha. Satu untuk obsesi Keitel saja.",negative
"Jika Anda menyukai tawa nyaring yang memilukan, Anda akan menyukai film ini. Jika Anda muda atau tua maka Anda akan menyukai film ini, neraka bahkan ibu saya menyukainya. <br /> <br /> Great Camp !!!",positive
